stage,user_raw_input,extracted_value
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
ALLERGIES,I have a gluten allergy,gluten
WEIGHT,About 130,130
CONFIRMATION,Looks good,yes
EQUIPMENT,dumbbells,dumbbells
LEVEL,I am a advanced,advanced
WEIGHT,About 138,138
WEIGHT,I weigh 133 lbs,133
CONFIRMATION,I need to change something,no
HEIGHT,About 168 cm,168
CONFIRMATION,Wait,no
HEIGHT,I am 171 centimeters,171
GOAL,My goal is to lose weight,lose weight
GOAL,Looking to get shredded,get shredded
ALLERGIES,lactose intolerant,lactose intolerant
HEIGHT,184 cm,184
GREETING,Absolutely,yes
GREETING,Not yet,no
GOAL,My goal is to lose weight,lose weight
AGE,38,38
INJURIES,tennis elbow,tennis elbow
INJURIES,I have a lower back pain,lower back pain
GREETING,Yes,yes
ALLERGIES,vegan,vegan
LEVEL,Just a beginner,beginner
LEVEL,Pretty much a intermediate,intermediate
WEIGHT,I am 298 lbs,298
EQUIPMENT,I have access to home gym,home gym
HEIGHT,194 cm,194
HEIGHT,166,166
EQUIPMENT,Just kettlebells,kettlebells
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
GOAL,Mainly to burn fat,burn fat
LEVEL,I am a pro,pro
GREETING,Yes,yes
ALLERGIES,I have a peanut allergy,peanut
HEIGHT,180 cm,180
ALLERGIES,gluten,gluten
GREETING,Yeah let's go,yes
WEIGHT,263 pounds,263
WEIGHT,193,193
DAYS,About 4 days,4
ALLERGIES,I have a peanut allergy,peanut
GREETING,Absolutely,yes
AGE,46,46
EQUIPMENT,I workout at a home gym,home gym
EQUIPMENT,kettlebells,kettlebells
AGE,I just turned 29,29
CONFIRMATION,Go ahead,yes
GREETING,I'm ready,yes
DAYS,3 days,3
EQUIPMENT,I have access to full gym,full gym
ALLERGIES,I am shellfish,shellfish
HEIGHT,About 192 cm,192
INJURIES,I have a lower back pain,lower back pain
ALLERGIES,lactose intolerant,lactose intolerant
HEIGHT,I am 158 centimeters,158
GREETING,Absolutely,yes
CONFIRMATION,Looks correct,yes
EQUIPMENT,bodyweight,bodyweight
GREETING,Yes I am,yes
GREETING,Not yet,no
ALLERGIES,I eat everything,none
HEIGHT,169 cm,169
LEVEL,I'd say advanced,advanced
HEIGHT,About 155 cm,155
GOAL,I want to build muscle,build muscle
CONFIRMATION,Perfect,yes
LEVEL,I am a pro,pro
LEVEL,intermediate,intermediate
HEIGHT,192 cm,192
ALLERGIES,I eat everything,none
WEIGHT,I am 246 lbs,246
WEIGHT,I am 256 lbs,256
GREETING,Not ready,no
CONFIRMATION,That's right,yes
ALLERGIES,peanut,peanut
ALLERGIES,No allergies,none
HEIGHT,About 158 cm,158
DAYS,6,6
LEVEL,advanced,advanced
GOAL,My goal is to endurance,endurance
WEIGHT,I weigh 267 lbs,267
AGE,I am 42 years old,42
INJURIES,lower back pain,lower back pain
HEIGHT,154 cm,154
LEVEL,I am a intermediate,intermediate
AGE,37,37
WEIGHT,Around 297,297
GOAL,Looking to burn fat,burn fat
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
EQUIPMENT,I workout at a home gym,home gym
AGE,I just turned 42,42
CONFIRMATION,Looks correct,yes
GOAL,Mainly to tone up,tone up
GOAL,My goal is to get shredded,get shredded
GOAL,My goal is to endurance,endurance
AGE,24,24
WEIGHT,Around 224,224
DAYS,I have 4 days free,4
ALLERGIES,lactose intolerant,lactose intolerant
ALLERGIES,I am shellfish,shellfish
HEIGHT,I am 193 centimeters,193
CONFIRMATION,Wait,no
WEIGHT,About 239,239
AGE,I am 21 years old,21
CONSENT,Okay,yes
LEVEL,I'd say novice,novice
WEIGHT,I weigh 259 lbs,259
GREETING,Nah,no
HEIGHT,176 cm,176
EQUIPMENT,I have access to dumbbells,dumbbells
DAYS,6 days,6
INJURIES,tennis elbow,tennis elbow
GREETING,Nah,no
HEIGHT,165,165
EQUIPMENT,I workout at a dumbbells,dumbbells
CONSENT,Go ahead,yes
CONFIRMATION,Generate it,yes
GOAL,Mainly to lose weight,lose weight
GREETING,I'm ready,yes
WEIGHT,Around 179,179
CONSENT,Yeah that's fine,yes
INJURIES,I'm perfectly healthy,none
WEIGHT,Around 259,259
HEIGHT,I am 155 centimeters,155
AGE,I am 57 years old,57
WEIGHT,About 211,211
AGE,I'm 40,40
WEIGHT,I weigh 272 lbs,272
WEIGHT,264 pounds,264
CONFIRMATION,Looks correct,yes
EQUIPMENT,I have access to dumbbells,dumbbells
LEVEL,Pretty much a intermediate,intermediate
CONFIRMATION,Perfect,yes
DAYS,I can do 6 days a week,6
CONSENT,Yes,yes
DAYS,I can do 6 days a week,6
HEIGHT,161 cm,161
ALLERGIES,gluten,gluten
ALLERGIES,I'm allergic to shellfishs,shellfish
WEIGHT,About 266,266
INJURIES,None,none
GOAL,Mainly to endurance,endurance
HEIGHT,About 177 cm,177
CONFIRMATION,Wait,no
ALLERGIES,I am shellfish,shellfish
WEIGHT,151 pounds,151
INJURIES,I have a lower back pain,lower back pain
CONSENT,I don't consent,no
CONFIRMATION,Perfect,yes
AGE,I am 41,41
HEIGHT,172,172
AGE,I just turned 20,20
WEIGHT,129 pounds,129
DAYS,I can do 6 days a week,6
DAYS,About 5 days,5
CONFIRMATION,Go ahead,yes
GREETING,Yes I am,yes
EQUIPMENT,Just kettlebells,kettlebells
LEVEL,I am a advanced,advanced
GOAL,endurance,endurance
CONSENT,No,no
DAYS,6 days,6
GREETING,Nah,no
EQUIPMENT,I have access to bodyweight,bodyweight
CONFIRMATION,That is wrong,no
ALLERGIES,peanut,peanut
LEVEL,I'd say pro,pro
GREETING,Give me a minute,no
ALLERGIES,I have a peanut allergy,peanut
ALLERGIES,I am gluten,gluten
WEIGHT,I weigh 133 lbs,133
INJURIES,I have a twisted ankle,twisted ankle
CONFIRMATION,Wait,no
CONSENT,I consent,yes
WEIGHT,Around 133,133
DAYS,About 4 days,4
CONFIRMATION,That is wrong,no
EQUIPMENT,I have access to kettlebells,kettlebells
ALLERGIES,I am vegan,vegan
GOAL,tone up,tone up
DAYS,About 3 days,3
CONSENT,No,no
HEIGHT,About 154 cm,154
AGE,I just turned 56,56
CONFIRMATION,I need to change something,no
INJURIES,My lower back pain hurts sometimes,lower back pain
AGE,I just turned 47,47
CONFIRMATION,Wait,no
CONFIRMATION,That is wrong,no
CONFIRMATION,Yes,yes
GOAL,I want to tone up,tone up
CONSENT,Okay,yes
AGE,I just turned 60,60
GREETING,Nah,no
GOAL,I want to burn fat,burn fat
GOAL,Mainly to build muscle,build muscle
EQUIPMENT,bodyweight,bodyweight
GOAL,Mainly to endurance,endurance
INJURIES,Dealing with bad knee,bad knee
WEIGHT,I weigh 199 lbs,199
GOAL,Mainly to tone up,tone up
GREETING,Not ready,no
ALLERGIES,peanut,peanut
WEIGHT,145 pounds,145
AGE,22,22
ALLERGIES,shellfish,shellfish
GREETING,Yes I am,yes
INJURIES,Nope,none
LEVEL,Pretty much a beginner,beginner
GOAL,My goal is to burn fat,burn fat
GREETING,I'm ready,yes
DAYS,I have 4 days free,4
LEVEL,Just a intermediate,intermediate
CONSENT,Yes you do,yes
ALLERGIES,I'm allergic to shellfishs,shellfish
INJURIES,Dealing with twisted ankle,twisted ankle
ALLERGIES,I'm allergic to glutens,gluten
GREETING,I'm ready,yes
EQUIPMENT,kettlebells,kettlebells
AGE,I am 61 years old,61
ALLERGIES,peanut,peanut
DAYS,3 days,3
GOAL,I want to burn fat,burn fat
AGE,I'm 52,52
GOAL,lose weight,lose weight
WEIGHT,126 pounds,126
INJURIES,Dealing with shoulder impingement,shoulder impingement
WEIGHT,196,196
GREETING,Not yet,no
GREETING,Let's do it,yes
AGE,19,19
INJURIES,I have a lower back pain,lower back pain
LEVEL,I'd say beginner,beginner
CONSENT,Yeah that's fine,yes
GOAL,My goal is to build muscle,build muscle
INJURIES,I have a bad knee,bad knee
DAYS,4 days,4
CONSENT,Yeah that's fine,yes
INJURIES,No injuries,none
LEVEL,Pretty much a advanced,advanced
LEVEL,Pretty much a novice,novice
HEIGHT,About 172 cm,172
EQUIPMENT,I only have home gym,home gym
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
GOAL,My goal is to tone up,tone up
AGE,I am 64,64
DAYS,About 3 days,3
WEIGHT,I am 130 lbs,130
CONFIRMATION,Yes,yes
HEIGHT,170 cm,170
GREETING,Give me a minute,no
HEIGHT,About 159 cm,159
AGE,I'm 59,59
CONSENT,No,no
INJURIES,I have a shoulder impingement,shoulder impingement
DAYS,I can do 3 days a week,3
INJURIES,tennis elbow,tennis elbow
DAYS,I have 6 days free,6
DAYS,4 days,4
CONSENT,No,no
LEVEL,I am a beginner,beginner
INJURIES,My twisted ankle hurts sometimes,twisted ankle
WEIGHT,233 pounds,233
HEIGHT,171 cm,171
DAYS,About 4 days,4
GREETING,Yes,yes
EQUIPMENT,I only have full gym,full gym
CONSENT,I would rather not,no
EQUIPMENT,I only have dumbbells,dumbbells
AGE,I am 46,46
AGE,56,56
GREETING,Yes I am,yes
INJURIES,My twisted ankle hurts sometimes,twisted ankle
INJURIES,My bad knee hurts sometimes,bad knee
LEVEL,Pretty much a intermediate,intermediate
INJURIES,I have a shoulder impingement,shoulder impingement
HEIGHT,I am 162 centimeters,162
CONSENT,No,no
LEVEL,Just a beginner,beginner
LEVEL,I'd say pro,pro
WEIGHT,Around 210,210
DAYS,4 days,4
AGE,I am 26 years old,26
DAYS,I can do 2 days a week,2
GOAL,Mainly to get shredded,get shredded
GOAL,Mainly to build muscle,build muscle
CONSENT,Okay,yes
GOAL,Mainly to get shredded,get shredded
AGE,I just turned 49,49
GREETING,I'm ready,yes
GREETING,Ready,yes
GREETING,Let's do it,yes
DAYS,2,2
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
EQUIPMENT,Just full gym,full gym
WEIGHT,I weigh 281 lbs,281
DAYS,4,4
DAYS,About 3 days,3
EQUIPMENT,I only have resistance bands,resistance bands
INJURIES,My twisted ankle hurts sometimes,twisted ankle
LEVEL,I am a beginner,beginner
EQUIPMENT,I only have bodyweight,bodyweight
ALLERGIES,peanut,peanut
DAYS,5 days,5
EQUIPMENT,I only have bodyweight,bodyweight
DAYS,I can do 2 days a week,2
HEIGHT,I am 195 centimeters,195
EQUIPMENT,I only have resistance bands,resistance bands
WEIGHT,113 pounds,113
WEIGHT,I weigh 104 lbs,104
CONFIRMATION,Wait,no
EQUIPMENT,I workout at a full gym,full gym
CONFIRMATION,I need to change something,no
AGE,I'm 59,59
EQUIPMENT,I workout at a home gym,home gym
GREETING,Ready,yes
INJURIES,I have a shoulder impingement,shoulder impingement
DAYS,5,5
AGE,I am 41,41
INJURIES,twisted ankle,twisted ankle
WEIGHT,I am 291 lbs,291
GREETING,Not yet,no
ALLERGIES,vegan,vegan
LEVEL,I'd say novice,novice
EQUIPMENT,dumbbells,dumbbells
LEVEL,I am a advanced,advanced
CONFIRMATION,Looks correct,yes
WEIGHT,297,297
ALLERGIES,vegan,vegan
WEIGHT,214 pounds,214
LEVEL,advanced,advanced
WEIGHT,About 139,139
ALLERGIES,shellfish,shellfish
HEIGHT,185 cm,185
WEIGHT,170,170
CONFIRMATION,That is wrong,no
EQUIPMENT,resistance bands,resistance bands
HEIGHT,I am 160 centimeters,160
DAYS,I have 4 days free,4
EQUIPMENT,resistance bands,resistance bands
CONSENT,I would rather not,no
HEIGHT,I am 188 centimeters,188
DAYS,3,3
GREETING,Not yet,no
LEVEL,I am a pro,pro
EQUIPMENT,I workout at a resistance bands,resistance bands
WEIGHT,I weigh 196 lbs,196
CONFIRMATION,Perfect,yes
GOAL,I want to get shredded,get shredded
WEIGHT,Around 239,239
GREETING,Not yet,no
CONSENT,I consent,yes
AGE,I'm 17,17
LEVEL,I'd say pro,pro
CONFIRMATION,That's right,yes
LEVEL,Just a beginner,beginner
DAYS,About 5 days,5
GREETING,No,no
ALLERGIES,lactose intolerant,lactose intolerant
AGE,I am 17 years old,17
WEIGHT,About 117,117
LEVEL,Pretty much a advanced,advanced
DAYS,2 days,2
CONSENT,I consent,yes
ALLERGIES,I have a gluten allergy,gluten
CONSENT,Nope,no
EQUIPMENT,bodyweight,bodyweight
GOAL,Mainly to tone up,tone up
GREETING,I'm ready,yes
GOAL,I want to lose weight,lose weight
CONFIRMATION,Looks correct,yes
GREETING,Yes,yes
CONFIRMATION,Looks good,yes
ALLERGIES,I'm allergic to glutens,gluten
CONFIRMATION,Looks correct,yes
CONSENT,Yes you do,yes
ALLERGIES,I eat everything,none
HEIGHT,I am 190 centimeters,190
DAYS,I can do 4 days a week,4
GREETING,Not yet,no
INJURIES,No injuries,none
GREETING,No,no
WEIGHT,299,299
INJURIES,I have a lower back pain,lower back pain
LEVEL,I am a pro,pro
CONFIRMATION,I need to change something,no
HEIGHT,I am 152 centimeters,152
AGE,I am 18 years old,18
AGE,I just turned 33,33
WEIGHT,Around 285,285
GOAL,Looking to build muscle,build muscle
EQUIPMENT,I workout at a resistance bands,resistance bands
CONSENT,Yes,yes
CONFIRMATION,That is wrong,no
AGE,I just turned 40,40
LEVEL,Pretty much a pro,pro
EQUIPMENT,Just dumbbells,dumbbells
HEIGHT,About 195 cm,195
GREETING,Absolutely,yes
CONSENT,Yes,yes
INJURIES,My twisted ankle hurts sometimes,twisted ankle
DAYS,4 days,4
INJURIES,Dealing with lower back pain,lower back pain
EQUIPMENT,dumbbells,dumbbells
DAYS,I can do 2 days a week,2
WEIGHT,I weigh 284 lbs,284
INJURIES,Dealing with twisted ankle,twisted ankle
LEVEL,Just a intermediate,intermediate
CONFIRMATION,That's right,yes
HEIGHT,157,157
WEIGHT,I weigh 195 lbs,195
WEIGHT,Around 133,133
HEIGHT,175,175
EQUIPMENT,I only have bodyweight,bodyweight
CONFIRMATION,No,no
INJURIES,I'm perfectly healthy,none
INJURIES,My tennis elbow hurts sometimes,tennis elbow
CONSENT,Okay,yes
GOAL,My goal is to burn fat,burn fat
CONFIRMATION,Incorrect,no
WEIGHT,256 pounds,256
DAYS,3,3
INJURIES,My lower back pain hurts sometimes,lower back pain
DAYS,I can do 3 days a week,3
EQUIPMENT,I only have bodyweight,bodyweight
WEIGHT,I am 141 lbs,141
GOAL,Looking to build muscle,build muscle
INJURIES,I'm perfectly healthy,none
LEVEL,intermediate,intermediate
ALLERGIES,I eat everything,none
DAYS,About 2 days,2
LEVEL,I am a pro,pro
WEIGHT,219,219
WEIGHT,I weigh 158 lbs,158
WEIGHT,Around 266,266
EQUIPMENT,I have access to kettlebells,kettlebells
DAYS,4 days,4
GOAL,I want to build muscle,build muscle
INJURIES,None,none
CONFIRMATION,I need to change something,no
GREETING,I'm ready,yes
GREETING,Absolutely,yes
GREETING,Let's do it,yes
EQUIPMENT,I only have dumbbells,dumbbells
ALLERGIES,I'm allergic to shellfishs,shellfish
LEVEL,I am a pro,pro
GOAL,I want to get shredded,get shredded
LEVEL,Just a novice,novice
WEIGHT,288,288
HEIGHT,About 158 cm,158
ALLERGIES,shellfish,shellfish
EQUIPMENT,I workout at a full gym,full gym
EQUIPMENT,I only have full gym,full gym
GOAL,My goal is to get shredded,get shredded
INJURIES,My bad knee hurts sometimes,bad knee
CONSENT,Nah,no
HEIGHT,170,170
AGE,I just turned 42,42
LEVEL,Pretty much a intermediate,intermediate
HEIGHT,I am 193 centimeters,193
AGE,I just turned 38,38
LEVEL,I am a beginner,beginner
LEVEL,Just a intermediate,intermediate
WEIGHT,About 210,210
WEIGHT,About 147,147
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
WEIGHT,Around 275,275
CONFIRMATION,Wait,no
GOAL,My goal is to get shredded,get shredded
CONSENT,I would rather not,no
ALLERGIES,I eat everything,none
CONSENT,Yes,yes
GREETING,No,no
CONSENT,No,no
ALLERGIES,gluten,gluten
GREETING,Absolutely,yes
HEIGHT,I am 165 centimeters,165
DAYS,I can do 2 days a week,2
GOAL,My goal is to lose weight,lose weight
DAYS,2 days,2
CONSENT,Sure,yes
AGE,I am 42,42
WEIGHT,167,167
WEIGHT,Around 126,126
DAYS,5 days,5
GOAL,My goal is to endurance,endurance
INJURIES,My tennis elbow hurts sometimes,tennis elbow
WEIGHT,I am 280 lbs,280
CONSENT,Go ahead,yes
DAYS,I have 2 days free,2
GREETING,Absolutely,yes
ALLERGIES,shellfish,shellfish
DAYS,About 4 days,4
INJURIES,Dealing with lower back pain,lower back pain
HEIGHT,I am 183 centimeters,183
CONSENT,I consent,yes
AGE,I am 17,17
GOAL,Mainly to tone up,tone up
WEIGHT,Around 273,273
GREETING,Yes,yes
ALLERGIES,I am lactose intolerant,lactose intolerant
GOAL,I want to get shredded,get shredded
AGE,I'm 28,28
CONFIRMATION,Go ahead,yes
DAYS,About 3 days,3
EQUIPMENT,I have access to home gym,home gym
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
LEVEL,I am a intermediate,intermediate
ALLERGIES,I am peanut,peanut
HEIGHT,156,156
INJURIES,I have a lower back pain,lower back pain
GOAL,I want to get shredded,get shredded
CONFIRMATION,That is wrong,no
HEIGHT,I am 156 centimeters,156
CONSENT,I would rather not,no
AGE,I'm 41,41
CONSENT,I consent,yes
ALLERGIES,shellfish,shellfish
HEIGHT,About 166 cm,166
DAYS,4,4
AGE,I'm 31,31
WEIGHT,I am 248 lbs,248
INJURIES,Dealing with shoulder impingement,shoulder impingement
HEIGHT,About 178 cm,178
AGE,I am 65,65
GREETING,Give me a minute,no
LEVEL,Pretty much a advanced,advanced
DAYS,2 days,2
AGE,50,50
WEIGHT,I am 268 lbs,268
ALLERGIES,shellfish,shellfish
AGE,I am 23 years old,23
DAYS,I can do 6 days a week,6
LEVEL,I'd say intermediate,intermediate
DAYS,5 days,5
HEIGHT,168 cm,168
GOAL,get shredded,get shredded
ALLERGIES,No allergies,none
WEIGHT,About 125,125
ALLERGIES,I have a gluten allergy,gluten
GOAL,My goal is to endurance,endurance
ALLERGIES,peanut,peanut
DAYS,6,6
WEIGHT,I weigh 292 lbs,292
LEVEL,I am a pro,pro
CONFIRMATION,Wait,no
DAYS,I have 5 days free,5
DAYS,5,5
CONFIRMATION,No,no
GREETING,Not yet,no
AGE,48,48
WEIGHT,Around 102,102
GREETING,Yeah let's go,yes
GOAL,Looking to endurance,endurance
GREETING,Let's do it,yes
GREETING,No,no
ALLERGIES,I'm allergic to vegans,vegan
DAYS,I can do 4 days a week,4
DAYS,I can do 2 days a week,2
WEIGHT,I am 143 lbs,143
WEIGHT,206 pounds,206
GOAL,I want to burn fat,burn fat
DAYS,I can do 6 days a week,6
GREETING,Ready,yes
GREETING,Give me a minute,no
INJURIES,I'm perfectly healthy,none
EQUIPMENT,I have access to bodyweight,bodyweight
GOAL,Looking to get shredded,get shredded
WEIGHT,269,269
GREETING,Absolutely,yes
HEIGHT,163 cm,163
ALLERGIES,Nope,none
DAYS,I can do 4 days a week,4
WEIGHT,125 pounds,125
AGE,I am 43,43
AGE,I am 56 years old,56
GOAL,I want to burn fat,burn fat
CONSENT,Nope,no
EQUIPMENT,I workout at a kettlebells,kettlebells
INJURIES,shoulder impingement,shoulder impingement
EQUIPMENT,I workout at a full gym,full gym
ALLERGIES,vegan,vegan
EQUIPMENT,resistance bands,resistance bands
DAYS,I have 2 days free,2
GREETING,I'm ready,yes
LEVEL,I am a novice,novice
LEVEL,I am a advanced,advanced
GREETING,Not yet,no
GREETING,Give me a minute,no
AGE,I just turned 38,38
AGE,I'm 19,19
WEIGHT,I am 295 lbs,295
GOAL,Looking to endurance,endurance
CONFIRMATION,Perfect,yes
DAYS,I can do 2 days a week,2
ALLERGIES,I am lactose intolerant,lactose intolerant
ALLERGIES,peanut,peanut
INJURIES,I have a shoulder impingement,shoulder impingement
DAYS,I can do 2 days a week,2
WEIGHT,I am 286 lbs,286
LEVEL,I am a intermediate,intermediate
WEIGHT,About 138,138
LEVEL,Pretty much a novice,novice
GREETING,No,no
CONSENT,I consent,yes
WEIGHT,I weigh 243 lbs,243
CONSENT,Nah,no
DAYS,5,5
WEIGHT,176 pounds,176
EQUIPMENT,I have access to resistance bands,resistance bands
WEIGHT,162 pounds,162
AGE,48,48
DAYS,4 days,4
CONSENT,I would rather not,no
LEVEL,Just a pro,pro
ALLERGIES,lactose intolerant,lactose intolerant
AGE,64,64
DAYS,I can do 2 days a week,2
ALLERGIES,I have a peanut allergy,peanut
GOAL,My goal is to burn fat,burn fat
WEIGHT,About 163,163
WEIGHT,I weigh 171 lbs,171
ALLERGIES,vegan,vegan
GREETING,I'm ready,yes
HEIGHT,About 153 cm,153
LEVEL,Just a novice,novice
AGE,I am 61,61
WEIGHT,I weigh 278 lbs,278
DAYS,About 3 days,3
EQUIPMENT,bodyweight,bodyweight
GREETING,Give me a minute,no
WEIGHT,137,137
GOAL,My goal is to endurance,endurance
INJURIES,I have a tennis elbow,tennis elbow
HEIGHT,184 cm,184
GOAL,Mainly to lose weight,lose weight
AGE,I just turned 36,36
INJURIES,My twisted ankle hurts sometimes,twisted ankle
HEIGHT,About 195 cm,195
HEIGHT,167,167
AGE,I am 31 years old,31
AGE,I just turned 22,22
GREETING,Let's do it,yes
CONSENT,Yes,yes
WEIGHT,Around 204,204
INJURIES,shoulder impingement,shoulder impingement
AGE,31,31
LEVEL,advanced,advanced
DAYS,I have 5 days free,5
CONSENT,Yeah that's fine,yes
DAYS,3,3
ALLERGIES,I have a peanut allergy,peanut
CONFIRMATION,Looks good,yes
INJURIES,shoulder impingement,shoulder impingement
EQUIPMENT,Just home gym,home gym
AGE,28,28
WEIGHT,I am 133 lbs,133
HEIGHT,I am 176 centimeters,176
EQUIPMENT,I have access to kettlebells,kettlebells
GREETING,Not ready,no
LEVEL,advanced,advanced
EQUIPMENT,I have access to dumbbells,dumbbells
CONFIRMATION,Incorrect,no
EQUIPMENT,bodyweight,bodyweight
DAYS,3,3
AGE,48,48
GOAL,Mainly to burn fat,burn fat
GOAL,Looking to build muscle,build muscle
DAYS,5,5
INJURIES,Dealing with shoulder impingement,shoulder impingement
GOAL,I want to endurance,endurance
CONSENT,Yes,yes
CONSENT,Okay,yes
GREETING,No,no
ALLERGIES,I have a gluten allergy,gluten
LEVEL,novice,novice
AGE,I'm 18,18
GOAL,I want to endurance,endurance
EQUIPMENT,Just bodyweight,bodyweight
WEIGHT,I weigh 221 lbs,221
LEVEL,Pretty much a beginner,beginner
GREETING,Let's do it,yes
ALLERGIES,I have a shellfish allergy,shellfish
HEIGHT,158,158
LEVEL,Pretty much a novice,novice
INJURIES,tennis elbow,tennis elbow
CONFIRMATION,Looks good,yes
DAYS,4 days,4
DAYS,I have 5 days free,5
INJURIES,No injuries,none
DAYS,6 days,6
EQUIPMENT,Just full gym,full gym
GREETING,Let's do it,yes
EQUIPMENT,Just full gym,full gym
ALLERGIES,gluten,gluten
EQUIPMENT,I have access to dumbbells,dumbbells
GREETING,Nah,no
GOAL,I want to burn fat,burn fat
DAYS,I can do 4 days a week,4
INJURIES,Dealing with tennis elbow,tennis elbow
GREETING,No,no
HEIGHT,About 162 cm,162
HEIGHT,About 163 cm,163
ALLERGIES,lactose intolerant,lactose intolerant
LEVEL,I am a intermediate,intermediate
AGE,I just turned 50,50
CONFIRMATION,That's right,yes
GREETING,Let's do it,yes
AGE,I'm 27,27
EQUIPMENT,I only have full gym,full gym
HEIGHT,I am 161 centimeters,161
GREETING,Yeah let's go,yes
LEVEL,novice,novice
EQUIPMENT,Just full gym,full gym
INJURIES,My lower back pain hurts sometimes,lower back pain
INJURIES,I have a tennis elbow,tennis elbow
CONSENT,Nope,no
GREETING,Give me a minute,no
CONFIRMATION,Looks good,yes
GOAL,lose weight,lose weight
CONSENT,I would rather not,no
HEIGHT,I am 163 centimeters,163
HEIGHT,154,154
CONSENT,Yes,yes
ALLERGIES,Nah,none
CONSENT,Nah,no
ALLERGIES,I have a vegan allergy,vegan
GREETING,Absolutely,yes
GOAL,My goal is to endurance,endurance
GOAL,My goal is to build muscle,build muscle
GOAL,Mainly to lose weight,lose weight
INJURIES,Dealing with shoulder impingement,shoulder impingement
WEIGHT,105,105
GREETING,Nah,no
GREETING,Not yet,no
GREETING,Nah,no
HEIGHT,I am 172 centimeters,172
WEIGHT,I am 113 lbs,113
GOAL,Mainly to tone up,tone up
LEVEL,pro,pro
CONFIRMATION,Generate it,yes
INJURIES,My lower back pain hurts sometimes,lower back pain
WEIGHT,196,196
INJURIES,My twisted ankle hurts sometimes,twisted ankle
AGE,I am 30,30
AGE,I am 29 years old,29
ALLERGIES,I have a peanut allergy,peanut
AGE,I am 41 years old,41
GOAL,My goal is to endurance,endurance
AGE,I am 34,34
ALLERGIES,I am shellfish,shellfish
GREETING,Ready,yes
CONSENT,Yes,yes
GREETING,Give me a minute,no
GREETING,Give me a minute,no
INJURIES,My twisted ankle hurts sometimes,twisted ankle
GOAL,build muscle,build muscle
GOAL,Mainly to get shredded,get shredded
HEIGHT,165,165
AGE,53,53
CONSENT,Yes you do,yes
EQUIPMENT,dumbbells,dumbbells
CONSENT,Nope,no
GREETING,No,no
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
EQUIPMENT,full gym,full gym
CONFIRMATION,I need to change something,no
CONFIRMATION,Wait,no
HEIGHT,I am 193 centimeters,193
HEIGHT,About 192 cm,192
AGE,I'm 17,17
GREETING,Not ready,no
WEIGHT,212 pounds,212
EQUIPMENT,bodyweight,bodyweight
CONSENT,Okay,yes
ALLERGIES,I have a shellfish allergy,shellfish
HEIGHT,About 154 cm,154
HEIGHT,179 cm,179
ALLERGIES,I have a peanut allergy,peanut
LEVEL,I am a novice,novice
GREETING,Absolutely,yes
CONFIRMATION,Yes,yes
CONFIRMATION,That is wrong,no
HEIGHT,188,188
ALLERGIES,I have a peanut allergy,peanut
AGE,I'm 56,56
GREETING,Not yet,no
AGE,I'm 20,20
AGE,I'm 38,38
INJURIES,I have a twisted ankle,twisted ankle
LEVEL,Pretty much a intermediate,intermediate
INJURIES,bad knee,bad knee
DAYS,About 6 days,6
GREETING,No,no
LEVEL,Pretty much a novice,novice
ALLERGIES,I have a peanut allergy,peanut
ALLERGIES,Nope,none
ALLERGIES,shellfish,shellfish
WEIGHT,293 pounds,293
CONFIRMATION,No,no
AGE,I am 58 years old,58
GREETING,Yes,yes
GOAL,Mainly to get shredded,get shredded
DAYS,I can do 2 days a week,2
WEIGHT,I weigh 239 lbs,239
GOAL,Looking to lose weight,lose weight
HEIGHT,159,159
CONFIRMATION,Go ahead,yes
INJURIES,twisted ankle,twisted ankle
CONSENT,Nah,no
GREETING,I'm ready,yes
DAYS,2 days,2
EQUIPMENT,kettlebells,kettlebells
DAYS,2,2
GREETING,Yeah let's go,yes
EQUIPMENT,I only have dumbbells,dumbbells
GOAL,Mainly to endurance,endurance
CONSENT,Sure,yes
EQUIPMENT,I workout at a bodyweight,bodyweight
DAYS,5,5
INJURIES,My twisted ankle hurts sometimes,twisted ankle
EQUIPMENT,I workout at a dumbbells,dumbbells
DAYS,About 6 days,6
HEIGHT,About 193 cm,193
INJURIES,Dealing with tennis elbow,tennis elbow
HEIGHT,I am 183 centimeters,183
AGE,I am 46,46
EQUIPMENT,I have access to home gym,home gym
CONSENT,Nah,no
AGE,I am 47,47
DAYS,About 6 days,6
HEIGHT,175 cm,175
GREETING,Yeah let's go,yes
CONSENT,Yeah that's fine,yes
GREETING,Absolutely,yes
LEVEL,I'd say pro,pro
ALLERGIES,lactose intolerant,lactose intolerant
EQUIPMENT,I have access to bodyweight,bodyweight
EQUIPMENT,I have access to home gym,home gym
CONSENT,Yes,yes
GOAL,build muscle,build muscle
CONFIRMATION,Go ahead,yes
AGE,I am 23 years old,23
HEIGHT,About 173 cm,173
GREETING,Absolutely,yes
LEVEL,I am a intermediate,intermediate
GOAL,Mainly to build muscle,build muscle
